stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_accesible
196,GWLG0,Shore Rd + Scudders Lane,,40.823783,-73.64572,,,,,,
197,CTRN0,Roslyn Clock Tower,,40.800186,-73.651164,,,,,,
198,PLDM0,Northern Blvd & Plandome Rd,,40.792668,-73.698547,,,,,,
199,LVGN0,Northern Bvd + Middle Neck/Leonards,,40.781854,-73.717089,,,,,,
200,CLGN0,Northern Blvd + Glenwood St Citylin,,40.772629,-73.733864,,,,,,
204,J1820,Hillside Ave + 182nd St,,40.713255,-73.781038,,,,,,
205,CHRY0,Hillside Ave + Cherry Lane,,40.739287,-73.699984,,,,,,
206,MRCS0,Hillside Ave + Marcus Ave,,40.751451,-73.673393,,,,,,
207,WILSE,Willis Ave. @ Hillside Ave,,40.75653,-73.644999,,,,,,
208,RSRDE,Hillside Ave + Roslyn Rd,,40.758302,-73.634985,,,,,,
209,JYCT0,JERICHO TPKE + JAY CT,,40.755917,-73.622528,,,,,,
210,WEST0,Maple Ave + Post Ave,,40.755785,-73.587809,,,,,,
211,RSRR0,Roslyn LIRR Station,,40.792052,-73.643372,,,,,,
213,PWRR0,Port Washington LIRR Station,,40.830695,-73.68778,,,,,,
214,MNRH0,Orchard Beach Blvd + Park Lane,,40.838711,-73.716947,,,,,,
215,FPKT0,Jericho Tpke + Tyson Ave,,40.728363,-73.704972,,,,,,
216,GCNU0,Jericho Tpke + Nassau Blvd,,40.741138,-73.662906,,,,,,
217,EMGC0,Glenn Curtiss Blvd,,40.72004,-73.577942,,,,,,
218,WBOS0,Westbury Blvd + Oak St,,40.722799,-73.606176,,,,,,
219,GVRR0,Greenvale LIRR Station,,40.814535,-73.626511,,,,,,
220,GNHD0,Glen Cove Ave + Glen Head Rd,,40.832778,-73.629697,,,,,,
223,MVBR0,Ellison Ave. + Privado Road,,40.7451,-73.592244,,,,,,
225,GRPK1,Broadway & Sheridan Ave Grant Park,,40.647221,-73.689732,,,,,,
226,GBRR1,Dubois Ave & Gibson Blvd LIRR,,40.650551,-73.701443,,,,,,
227,GRAU1,Green Acres & Sidney Rd,,40.661708,-73.714701,,,,,,
228,GRAC1,Green Acres Macys,,40.66175,-73.722214,,,,,,
229,VSRR1,Valley Stream LIRR,,40.661523,-73.70308,,,,,,
230,CLMK1,Central Ave + Merrick Rd,,40.667661,-73.708135,,,,,,
232,JAMT1,Jamaica Bus Terminal,,40.707787,-73.795747,,,,,,
234,J1791,Hillside Ave  179th St Subway,,40.712784,-73.783276,,,,,,
235,CCIP1,Hempstead Ave & 225th St (CIP),,40.7116,-73.729241,,,,,,
237,HPMM1,Hempstead Tpke & Remsen St,,40.708148,-73.69046,,,,,,
243,FKLNW,Hempstead Tpke & New Hyde Park Rd,,40.707503,-73.676048,,,,,,
245,FREE1,Freeport LIRR Station,,40.657841,-73.581329,,,,,,
246,ATGR1,Atlantic Ave + Grand Ave,,40.63858,-73.613066,,,,,,
247,RVCP1,Merrick Rd + Park Ave,,40.656111,-73.645452,,,,,,
248,LY5C1,Merrick Rd + Hempstead Ave 5 Corner,,40.657037,-73.671509,,,,,,
249,VSRW1,Merrick Rd + Rockaway Ave,,40.664706,-73.697963,,,,,,
250,CTYL1,Merrick Rd + Ocean Ave Cityline,,40.6741,-73.727592,,,,,,
252,RCRRE,Rockville Centre LIRR,,40.657883,-73.646233,,,,,,
256,MKMK1,Merrick Rd + Merrick Ave,,40.656596,-73.549248,,,,,,
